epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.103,1.29393,1.86642,1.13355,0.59666,0.52277,0.55232,0.35621,1.18516,1.19446,1.05776,0.000415493,0.000415493,0.000415493
2,458.628,1.02082,1.00503,0.99538,0.63206,0.55231,0.57076,0.3495,1.28738,1.04344,1.10875,0.000821862,0.000821862,0.000821862
3,657.306,0.98177,0.88464,0.97964,0.5358,0.5978,0.56328,0.37217,1.05449,1.54015,1.02823,0.00121792,0.00121792,0.00121792
4,860.433,0.92653,0.78084,0.95632,0.69411,0.55883,0.63697,0.42367,1.07213,0.95328,1.0323,0.00120359,0.00120359,0.00120359
5,1059.73,0.87784,0.70774,0.93789,0.77338,0.59209,0.66669,0.45392,1.00592,0.87616,0.99934,0.00118812,0.00118812,0.00118812
6,1251.29,0.84795,0.66427,0.92321,0.63653,0.52918,0.53529,0.34908,1.17905,1.19109,1.08469,0.00117266,0.00117266,0.00117266
7,1452.96,0.82344,0.63507,0.91627,0.76171,0.64572,0.72893,0.50178,0.93799,0.75336,0.97497,0.00115719,0.00115719,0.00115719
8,1648.82,0.79836,0.60269,0.90649,0.79406,0.63084,0.72298,0.49765,0.92626,0.7244,0.97257,0.00114172,0.00114172,0.00114172
9,1841.3,0.78416,0.57692,0.89959,0.75121,0.6337,0.71078,0.48031,0.98698,0.76243,0.98686,0.00112625,0.00112625,0.00112625
10,2030.37,0.76726,0.55553,0.89197,0.75617,0.64803,0.71614,0.48188,0.98103,0.76341,0.98494,0.00111078,0.00111078,0.00111078
11,2228.07,0.76455,0.53655,0.88946,0.76536,0.64871,0.72599,0.50814,0.90096,0.75047,0.96362,0.00109531,0.00109531,0.00109531
12,2426.57,0.72907,0.50735,0.8785,0.75589,0.66813,0.73408,0.51616,0.90576,0.72198,0.96774,0.00107984,0.00107984,0.00107984
13,2619.36,0.7418,0.50434,0.87993,0.75315,0.63682,0.69896,0.48588,0.92661,0.72675,0.96824,0.00106437,0.00106437,0.00106437
14,2816.95,0.73204,0.4911,0.87615,0.77129,0.64319,0.71451,0.49954,0.92375,0.77404,0.96965,0.00104891,0.00104891,0.00104891
15,3013.05,0.69831,0.47818,0.86762,0.78686,0.67003,0.73458,0.51467,0.8883,0.73919,0.9613,0.00103344,0.00103344,0.00103344
16,3207.38,0.68817,0.46042,0.8638,0.77981,0.64202,0.71136,0.49252,0.92437,0.82711,0.97437,0.00101797,0.00101797,0.00101797
17,3408.69,0.66851,0.44367,0.85777,0.77811,0.66173,0.71877,0.50319,0.89364,0.75499,0.96658,0.0010025,0.0010025,0.0010025
18,3610.64,0.64551,0.43278,0.853,0.75639,0.60661,0.69042,0.47133,0.96333,0.87068,0.99273,0.000987031,0.000987031,0.000987031
19,3808.71,0.66387,0.43982,0.85587,0.80235,0.66382,0.72849,0.51698,0.87092,0.70433,0.96318,0.000971562,0.000971562,0.000971562
20,4010.67,0.62195,0.41456,0.84671,0.79594,0.6468,0.72319,0.50672,0.90201,0.74041,0.97112,0.000956094,0.000956094,0.000956094
21,4207.72,0.63516,0.41279,0.84806,0.75432,0.67096,0.70914,0.49226,0.89028,0.71575,0.97761,0.000940625,0.000940625,0.000940625
22,4405.03,0.63187,0.4073,0.84573,0.78242,0.66496,0.72015,0.50693,0.88977,0.71666,0.96874,0.000925156,0.000925156,0.000925156
23,4605.92,0.64838,0.40248,0.84761,0.78482,0.67584,0.74291,0.52387,0.88238,0.67969,0.96671,0.000909688,0.000909688,0.000909688
24,4804.92,0.65525,0.39954,0.8471,0.7766,0.68688,0.73415,0.52077,0.87916,0.68683,0.96727,0.000894219,0.000894219,0.000894219
25,5003.73,0.63612,0.39081,0.8434,0.7886,0.66026,0.72177,0.51499,0.87961,0.70263,0.97019,0.00087875,0.00087875,0.00087875
26,5202.8,0.62036,0.38122,0.83868,0.77303,0.68608,0.72212,0.51146,0.88481,0.70273,0.97227,0.000863281,0.000863281,0.000863281
27,5393.99,0.60712,0.3791,0.83641,0.79796,0.66866,0.72913,0.51231,0.87767,0.7138,0.96968,0.000847813,0.000847813,0.000847813
28,5590.02,0.60232,0.37347,0.83521,0.78037,0.67932,0.72629,0.51533,0.87085,0.70137,0.96086,0.000832344,0.000832344,0.000832344
29,5784.69,0.57294,0.36162,0.82944,0.79189,0.66622,0.71916,0.51422,0.85805,0.70696,0.95837,0.000816875,0.000816875,0.000816875
30,5983.08,0.5616,0.3564,0.82616,0.7982,0.65343,0.7094,0.49942,0.88475,0.72288,0.97374,0.000801406,0.000801406,0.000801406
31,6178.16,0.57443,0.36291,0.82908,0.81437,0.65136,0.72361,0.51474,0.86869,0.6966,0.96498,0.000785938,0.000785938,0.000785938
32,6373.95,0.5806,0.36142,0.83073,0.80089,0.64088,0.71382,0.50539,0.90638,0.74007,0.97297,0.000770469,0.000770469,0.000770469
33,6570.05,0.60564,0.36071,0.83236,0.77819,0.67216,0.71956,0.50508,0.89299,0.70041,0.97561,0.000755,0.000755,0.000755
34,6769.82,0.60527,0.35737,0.83233,0.79116,0.6757,0.72884,0.51653,0.8795,0.7097,0.97263,0.000739531,0.000739531,0.000739531
35,6972.64,0.52836,0.33007,0.8177,0.75027,0.67365,0.69788,0.49334,0.87037,0.72447,0.97519,0.000724062,0.000724062,0.000724062
36,7173.17,0.51999,0.33026,0.81706,0.80667,0.66492,0.72003,0.51334,0.85549,0.70318,0.96342,0.000708594,0.000708594,0.000708594
37,7374.3,0.50375,0.32186,0.81312,0.80001,0.66392,0.72337,0.51333,0.86847,0.70057,0.97113,0.000693125,0.000693125,0.000693125
38,7573.82,0.54812,0.32974,0.82151,0.80374,0.66651,0.72299,0.51277,0.87347,0.71649,0.97544,0.000677656,0.000677656,0.000677656
